Date,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP
2026-05-15,65.06999969482422,417.2900085449219,79.05532836914062,277.6000061035156,708.9299926757812,739.1699829101562,83.33222961425781,148.22999572753906,27.770000457763672
2026-05-18,64.97000122070312,418.42999267578125,79.13492584228516,275.9700012207031,705.8800048828125,738.6500244140625,83.23261260986328,149.2899932861328,27.700000762939453
2026-05-19,64.26000213623047,411.5,78.94589233398438,273.0,701.530029296875,733.72998046875,82.69473266601562,152.9600067138672,27.790000915527344
2026-05-20,65.45999908447266,417.3999938964844,79.45329284667969,279.8699951171875,713.1500244140625,741.25,83.58125305175781,144.27000427246094,27.729999542236328
2026-05-21,66.02999877929688,416.989990234375,79.49309539794922,282.489990234375,714.510009765625,742.719970703125,83.89002990722656,142.5399932861328,27.729999542236328
2026-05-22,65.87999725341797,413.82000732421875,79.50304412841797,285.1199951171875,717.5399780273438,745.6400146484375,84.34822845458984,140.9199981689453,27.770000457763672
2026-05-26,68.4000015258789,414.0,79.77166748046875,290.510009765625,730.280029296875,750.5900268554688,84.7665786743164,137.0,27.75
2026-05-27,68.38999938964844,408.489990234375,79.72191619873047,290.3699951171875,729.4500122070312,750.4600219726562,84.96580505371094,131.02999877929688,27.75
2026-05-28,68.61000061035156,412.7699890136719,79.8214111328125,292.0299987792969,735.5999755859375,754.5999755859375,85.4040756225586,130.77999877929688,27.700000762939453
2026-05-29,68.5999984741211,417.1199951171875,79.9010009765625,290.42999267578125,738.3099975585938,756.47998046875,85.42400360107422,129.08999633789062,27.65999984741211
2026-06-01,70.08000183105469,411.260009765625,79.83999633789062,288.9800109863281,742.739990234375,758.5399780273438,85.47000122070312,135.5,27.760000228881836
2026-06-02,70.80000305175781,411.95001220703125,79.9000015258789,291.6600036621094,746.1599731445312,759.5700073242188,85.6500015258789,137.27000427246094,27.760000228881836
2026-06-03,69.91999816894531,407.8699951171875,79.68000030517578,287.6700134277344,744.2100219726562,754.239990234375,85.30999755859375,140.86000061035156,27.860000610351562
2026-06-04,69.0999984741211,411.2699890136719,79.83000183105469,292.010009765625,740.6099853515625,757.0900268554688,85.5,136.74000549316406,27.84000015258789
2026-06-05,64.58999633789062,396.239990234375,79.43000030517578,281.6499938964844,705.0599975585938,737.5499877929688,85.05999755859375,133.02000427246094,28.020000457763672
2026-06-08,65.75,397.2699890136719,79.54000091552734,284.1099853515625,716.0700073242188,739.219970703125,84.62000274658203,135.14999389648438,28.030000686645508
2026-06-09,65.81999969482422,390.7799987792969,79.62000274658203,285.0199890136719,707.8300170898438,737.0499877929688,85.12000274658203,131.3000030517578,28.010000228881836
2026-06-10,64.66000366210938,374.5799865722656,79.47000122070312,282.04998779296875,693.6900024414062,725.4299926757812,84.87999725341797,134.3000030517578,28.049999237060547
2026-06-11,67.5,386.32000732421875,79.94000244140625,290.4100036621094,717.1199951171875,737.760009765625,85.9800033569336,128.8300018310547,27.950000762939453
2026-06-12,67.87999725341797,386.5400085449219,79.94000244140625,292.95001220703125,721.3400268554688,741.75,85.7699966430664,125.43000030517578,27.950000762939453
2026-06-15,69.65499877929688,396.45001220703125,80.08000183105469,295.010009765625,743.0999755859375,754.8499755859375,85.70500183105469,119.95999908447266,27.924999237060547
