Date,CL=F,EEM,ES=F,EURUSD=X,GBPUSD=X,GC=F,GLD,HYG,IEF,IWM,JPY=X,LQD,NQ=F,QQQ,SPY,TLT,USO,UUP,ZN=F
2022-05-09,103.08999633789062,35.867279052734375,3987.5,1.053219199180603,1.2326656579971313,1857.0999755859375,172.8800048828125,60.54751968383789,89.146728515625,165.670166015625,130.74899291992188,93.64803314208984,12193.75,289.42669677734375,375.8096923828125,98.32584381103516,76.56999969482422,23.89743423461914,118.1875
2022-05-10,99.76000213623047,36.03872299194336,3996.75,1.056579828262329,1.2338824272155762,1839.9000244140625,171.4199981689453,60.894554138183594,89.44435119628906,165.71751403808594,130.3769989013672,94.04385375976562,12349.0,292.94287109375,376.67791748046875,99.21762084960938,74.52999877929688,23.949161529541016,118.78125
2022-05-11,105.70999908447266,35.786075592041016,3930.25,1.0532968044281006,1.2309207916259766,1852.5999755859375,172.82000732421875,60.53176498413086,89.99581146240234,161.5970916748047,130.3509979248047,94.48180389404297,11969.75,284.2547302246094,370.69403076171875,101.12976837158203,78.18000030517578,23.97502326965332,119.265625
2022-05-12,106.12999725341797,35.55146408081055,3927.25,1.05124831199646,1.2234212160110474,1823.800048828125,170.1699981689453,60.50809097290039,90.29344940185547,163.49156188964844,129.8350067138672,94.52387237548828,11947.25,283.58270263671875,370.3070373535156,100.94110107421875,79.2300033569336,24.181928634643555,120.0
2022-05-13,110.48999786376953,36.534996032714844,4019.75,1.0379581451416016,1.220613718032837,1807.4000244140625,168.7899932861328,60.579071044921875,89.82073974609375,168.6728973388672,128.58799743652344,94.0270004272461,12382.75,294.0922546386719,379.1602783203125,99.44913482666016,81.27999877929688,24.112960815429688,119.171875
2022-05-16,114.19999694824219,36.390628814697266,4004.75,1.0400632619857788,1.2258507013320923,1813.5,170.39999389648438,60.4923095703125,90.1971435546875,167.8677520751953,129.4320068359375,94.15333557128906,12244.75,290.6832275390625,377.6217956542969,99.34622192382812,83.11000061035156,24.018129348754883,119.671875
2022-05-17,112.4000015258789,37.28392028808594,4084.75,1.0438958406448364,1.2324832677841187,1818.199951171875,169.3300018310547,60.43709945678711,89.51436614990234,173.00169372558594,128.92300415039062,93.61436462402344,12560.25,298.21234130859375,385.3896789550781,98.14579010009766,81.11000061035156,23.819847106933594,118.859375
2022-05-18,109.58999633789062,36.390628814697266,3922.75,1.0547856092453003,1.2484394311904907,1815.9000244140625,169.4199981689453,59.94023132324219,90.15338134765625,166.93948364257812,129.45399475097656,93.9596176147461,11935.5,283.5729675292969,369.85394287109375,100.238037109375,79.29000091552734,23.940540313720703,119.4375
2022-05-19,112.20999908447266,36.968109130859375,3897.75,1.0472739934921265,1.2345831394195557,1841.199951171875,171.91000366210938,60.34245300292969,90.47726440429688,167.21412658691406,127.91400146484375,94.2123031616211,11878.25,282.0534362792969,367.5888366699219,100.47811889648438,80.58000183105469,23.690532684326172,119.703125
2022-05-20,113.2300033569336,37.12150573730469,3899.5,1.057898759841919,1.2462146282196045,1841.800048828125,172.02999877929688,60.303016662597656,90.89744567871094,166.78790283203125,127.83200073242188,94.6754379272461,11840.75,281.1768493652344,367.7492370605469,101.6185073852539,81.6500015258789,23.742259979248047,120.125
2022-05-23,110.29000091552734,37.401222229003906,3971.75,1.0569819211959839,1.2504063844680786,1847.800048828125,172.8300018310547,60.53964614868164,90.34595489501953,168.80551147460938,127.90299987792969,94.3386001586914,12035.25,285.8520812988281,374.62994384765625,99.94644927978516,81.97000122070312,23.5267333984375,119.578125
2022-05-24,109.7699966430664,36.751556396484375,3940.5,1.0682048797607422,1.256754994392395,1865.0999755859375,174.1300048828125,60.90244674682617,91.12504577636719,166.3048095703125,127.84600067138672,95.57658386230469,11771.0,279.7742919921875,371.77001953125,101.91864776611328,82.0,23.457763671875,120.375
2022-05-25,110.33000183105469,36.93202209472656,3976.75,1.0736525058746338,1.2542959451675415,1846.199951171875,173.0800018310547,61.825225830078125,91.30884552001953,169.2980499267578,126.76899719238281,96.56190490722656,11942.25,283.6897888183594,375.0545959472656,102.32164764404297,82.4800033569336,23.543973922729492,120.59375
2022-05-26,114.08999633789062,37.50950622558594,4055.75,1.0686614513397217,1.258610486984253,1847.4000244140625,172.75999450683594,62.684852600097656,91.26508331298828,173.07748413085938,127.1520004272461,96.58718872070312,12279.25,291.550048828125,382.5487060546875,101.8586196899414,84.58999633789062,23.466386795043945,120.59375
