Date,AAPL_250C_20271217,CL=F,EEM,ES=F,EURUSD=X,GBPUSD=X,GC=F,GLD,HYG,IEF,IWM,JPY=X,LQD,NQ=F,QQQ,QQQ_700P_20271217,SPY,SPY_550P_20271217,SPY_650C_20271217,TLT,USO,UUP,ZN=F
2025-06-17,,74.83999633789062,45.714778900146484,5985.0,1.1551345586776733,1.3565576076507568,3386.60009765625,311.94000244140625,74.90536499023438,90.93736267089844,206.40618896484375,144.72900390625,103.20944213867188,21730.5,525.953369140625,,589.2398071289062,,,82.72686767578125,82.30000305175781,26.475786209106445,110.84375
2025-06-18,,75.13999938964844,45.7049674987793,5981.5,1.1482638120651245,1.3430029153823853,3389.800048828125,310.260009765625,75.0185317993164,90.99510192871094,207.494873046875,145.37600708007812,103.28591918945312,21720.25,525.8638916015625,,589.1510620117188,,,82.8703384399414,82.2699966430664,26.52413558959961,111.0625
2025-06-19,,,,,1.1477497816085815,1.3416515588760376,,,,,,144.9550018310547,,,,,,,,,,,
2025-06-20,,74.93000030517578,45.44015884399414,6010.2099609375,1.1512778997421265,1.3476725816726685,3368.10009765625,310.1300048828125,75.25428771972656,91.05286407470703,207.05941772460938,145.21800231933594,103.3719482421875,21889.890625,523.7166137695312,,587.7673950195312,,,82.71731567382812,83.12000274658203,26.49512481689453,110.984375
2025-06-23,,68.51000213623047,45.8128547668457,6077.0,1.1500862836837769,1.3435983657836914,3377.699951171875,311.0799865722656,75.3957290649414,91.3704833984375,209.59307861328125,146.2239990234375,103.63005065917969,22073.5,529.1017456054688,,593.5730590820312,,,82.98507690429688,76.41000366210938,26.38875961303711,111.453125
2025-06-24,,64.37000274658203,46.99961471557617,6146.25,1.1599044799804688,1.3545364141464233,3317.39990234375,306.19000244140625,75.60319519042969,91.6881103515625,212.2653350830078,145.92799377441406,104.1175537109375,22412.75,537.1928100585938,,600.1304321289062,,,83.58763122558594,73.0,26.253381729125977,111.65625
2025-06-25,,64.91999816894531,47.038848876953125,6147.0,1.161224365234375,1.361488938331604,3327.10009765625,307.1199951171875,75.5843505859375,91.72662353515625,209.79103088378906,144.95700073242188,103.9932861328125,22461.0,538.5661010742188,,600.4666748046875,,,83.69281768798828,73.30999755859375,26.185693740844727,111.6875
2025-06-26,,65.23999786376953,47.35270309448242,6195.0,1.1683744192123413,1.369187831878662,3333.5,306.7799987792969,75.80123138427734,92.0538558959961,213.1956787109375,144.9040069580078,104.37564086914062,22669.25,543.6019287109375,,605.16455078125,,,84.11361694335938,73.58999633789062,26.07932472229004,112.015625
2025-06-27,,65.5199966430664,47.166351318359375,6223.75,1.1692214012145996,1.37247633934021,3273.699951171875,301.2200012207031,75.7635269165039,91.81324768066406,213.26495361328125,144.69400024414062,104.20359802246094,22751.5,545.462890625,,608.1712646484375,,,83.57806396484375,73.27999877929688,26.127676010131836,111.8125
2025-06-30,,65.11000061035156,47.313472747802734,6253.75,1.1727453470230103,1.3719680309295654,3294.39990234375,304.8299865722656,76.05586242675781,92.17899322509766,213.5717315673828,144.51699829101562,104.77713775634766,22893.25,548.9959106445312,,611.0791015625,,,84.40054321289062,73.11000061035156,25.992298126220703,112.125
2025-07-01,,65.44999694824219,47.4017448425293,6248.75,1.178717017173767,1.3730605840682983,3336.699951171875,307.54998779296875,75.96015167236328,92.00808715820312,215.76895141601562,143.8000030517578,104.90377807617188,22692.75,544.3681640625,,610.8812866210938,,,84.60980987548828,73.93000030517578,25.982629776000977,111.859375
2025-07-02,,67.44999694824219,47.60771179199219,6275.0,1.180553913116455,1.374721646308899,3348.0,309.25,76.1022720336914,91.81497192382812,218.7578887939453,143.40199279785156,104.88460540771484,22843.0,548.1599731445312,,613.650634765625,,,84.07223510742188,75.58999633789062,25.963289260864258,111.625
